City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
263,Mulanje,MW,2022-04-12 18:36:45,-16.0316,35.5,68.52,96,2,3.11
264,Havelock,US,2022-04-12 18:36:45,34.8791,-76.9013,82.98,66,0,9.22
265,Manakara,MG,2022-04-12 18:36:46,-22.1333,48.0167,72.88,84,72,4.36
266,Linjiang,CN,2022-04-12 18:36:46,41.8069,126.9078,35.69,76,100,1.88
267,Puerto Padre,CU,2022-04-12 18:36:46,21.195,-76.6028,82.49,62,84,16.67
268,Coro,VE,2022-04-12 18:36:47,11.4045,-69.6734,85.44,64,43,22.57
269,Gazanjyk,TM,2022-04-12 18:36:47,39.2446,55.5154,78.35,25,5,11.45
270,Diffa,NE,2022-04-12 18:36:48,13.3154,12.6113,89.22,35,60,6.33
271,Plouzane,FR,2022-04-12 18:37:48,48.3833,-4.6167,55.72,79,100,17.27
272,Nyrob,RU,2022-04-12 18:37:48,60.733,56.7202,36.37,100,100,2.71
273,Peniche,PT,2022-04-12 18:37:49,39.3558,-9.3811,59.29,89,56,10.63
274,Vilnius,LT,2022-04-12 18:33:17,54.6892,25.2798,45.48,53,0,4.61
275,Bethel,US,2022-04-12 18:37:13,41.3712,-73.414,68.63,59,40,10.36
276,Caluquembe,AO,2022-04-12 18:37:50,-13.7833,14.6833,60.17,89,37,3.58
277,Sun City West,US,2022-04-12 18:37:50,33.662,-112.3413,72.79,28,20,14.97
278,La Ronge,CA,2022-04-12 18:37:51,55.1001,-105.2842,16.02,48,20,12.66
279,Riverton,US,2022-04-12 18:33:24,40.5219,-111.9391,37.63,57,100,9.22
280,Ayr,GB,2022-04-12 18:37:51,55.4627,-4.6339,46.51,93,75,11.5
281,Isetskoye,RU,2022-04-12 18:37:52,56.4858,65.3226,36.9,80,100,9.35
282,Olhao,PT,2022-04-12 18:37:52,37.0286,-7.8411,60.69,80,20,12.66
283,Murdochville,CA,2022-04-12 18:37:52,48.9583,-65.5006,31.08,99,100,2.77
284,Kamaishi,JP,2022-04-12 18:37:53,39.2667,141.8833,54.81,70,100,6.11
285,Lompoc,US,2022-04-12 18:37:53,34.6391,-120.4579,66.56,36,0,20.71
286,Senanga,ZM,2022-04-12 18:37:54,-16.1167,23.2667,70.02,77,100,5.64
287,Ostrovnoy,RU,2022-04-12 18:37:54,68.0531,39.5131,25.74,91,16,11.36
288,Saint George,US,2022-04-12 18:37:54,37.1041,-113.5841,54.79,13,0,17.27
289,Gat,IL,2022-04-12 18:36:01,31.61,34.7642,60.82,100,3,4.03
290,Nemuro,JP,2022-04-12 18:37:55,43.3236,145.575,36.63,98,100,9.73
291,Batagay-Alyta,RU,2022-04-12 18:37:56,67.8006,130.4114,1.67,97,100,2.19
